,model,kw,mark,new,2017,2016,2015,2014,2013,2012,2011
35,Giulietta 1.4 TB 16V,88.0,Alfa Romeo,21500,13950,12450,,,,,
36,Giulietta 1.4 TB 16V Sprint (940),110.0,Alfa Romeo,25200,,14500,13150,11900,,,
37,Giulietta 1.4 TB 16V Super (940),110.0,Alfa Romeo,25500,16400,14650,,,,,
38,Giulietta 1.4 TB 16V MultiAir Super TCT (940),125.0,Alfa Romeo,28600,18100,16150,,,,,
39,Giulietta 1.8 TBi 16V Veloce (940),177.0,Alfa Romeo,35550,23200,20700,,,,,
40,Giulietta 1.6 JTDM 16V (940),77.0,Alfa Romeo,21650,,,,,8475,7625,6875
41,Giulietta 1.6 JTDM 16V Impression (940),88.0,Alfa Romeo,23150,,12000,10950,,,,
42,Giulietta 1.6 JTDM 16V (940),88.0,Alfa Romeo,23500,14350,12350,,,,,
43,Giulietta 2.0 JTDM 16V Veloce (940),110.0,Alfa Romeo,25900,,,,11600,10700,,
44,Giulietta 2.0 JTDM 16V Super (940),110.0,Alfa Romeo,27500,17500,15000,,,,,
45,Giulietta 2.0 JTDM 16V Turismo TCT (940),129.0,Alfa Romeo,30400,,15600,14150,12700,,,
46,Giulietta 2.0 JTDM 16V Super TCT (940),129.0,Alfa Romeo,30800,18900,16200,,,,,
47,Giulietta Quadrifoglio (940),173.0,Alfa Romeo,29950,,,,14250,12800,11550,10450
48,Giulietta Quadrifoglio (940),177.0,Alfa Romeo,32500,,19650,17850,16350,,,
49,MiTo 1.4 8V (955),51.0,Alfa Romeo,13950,,,,,6225,5575,
50,MiTo 1.4 8V Impression (955),51.0,Alfa Romeo,14100,,,,7100,6325,,
51,MiTo 1.4 8V Impression (955),57.0,Alfa Romeo,14400,,8975,8025,7325,,,
52,MiTo 1.4 8V Junior (955),58.0,Alfa Romeo,15200,,,,7675,6925,,
53,MiTo 0.9 8V MultiAir Turismo (955),62.0,Alfa Romeo,16950,,,,,7475,6675,
54,MiTo 0.9 8V TwinAir Junior (955),77.0,Alfa Romeo,16450,,,,8150,7275,,
55,MiTo 1.4 16V MultiAir Super (955),77.0,Alfa Romeo,16950,,,,,,6425,5700
56,MiTo 0.9 8V TwinAir Impression (955),77.0,Alfa Romeo,16000,,,8875,7925,,,
57,MiTo 1.4 TB 16V MultiAir Turismo TCT (955),103.0,Alfa Romeo,21500,,,11700,10450,,,
58,MiTo 1.4 TB 16V MultiAir Veloce TCT (955),125.0,Alfa Romeo,24000,16250,14550,,,,,
59,MiTo 1.3 JTDM 16V Eco (955),62.0,Alfa Romeo,16950,,,,,6950,6075,5375
60,MiTo 1.3 JTDM 16V Eco Impression (955),62.0,Alfa Romeo,17500,,,8900,7950,,,
61,MiTo 1.6 JTDM 16V Turismo (955),88.0,Alfa Romeo,21000,,,9925,8850,7775,6875,6100
62,MiTo Quadrifoglio (955),125.0,Alfa Romeo,21800,,,,10050,8975,7900,7025
63,Stelvio 2.0 Turbo 16V Q4 AT8 (949),147.0,Alfa Romeo,42200,28200,,,,,,
64,Stelvio 2.0 Turbo 16V Super Q4 AT8 (949),206.0,Alfa Romeo,50000,33400,,,,,,
65,Stelvio 2.2 Diesel AT8 (949),110.0,Alfa Romeo,39800,26600,,,,,,
66,Stelvio 2.2 Diesel Super AT8 (949),132.0,Alfa Romeo,44200,29400,,,,,,
67,Stelvio 2.2 Diesel Super Q4 AT8 (949),132.0,Alfa Romeo,47000,31250,,,,,,
68,Stelvio 2.2 Diesel Super Q4 AT8 (949),154.0,Alfa Romeo,48500,32600,,,,,,
69,Stelvio Quadrifoglio Q4 AT8 (949),375.0,Alfa Romeo,89000,58900,,,,,,
70,D3 Bi-Turbo Coupé (E92),157.0,ALPINA,40600,,,,,,16800,15250
71,B3 Bi-Turbo Allrad Switch-Tronic (F30),301.0,ALPINA,69200,,,42900,38300,34200,,
