Alle Marken,,,,,km- Neu-,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen,,kW (PS),Kl. preis,,,2017,2016 2015 2014 2013 2012,,,,,2011
A3 Limousine 1.8 TFSI Attraction (8V),,4,132,(180),III,28950,,17800,16350,15250,14300,
A3 Limousine 1.8 TFSI Attraction quattro S tronic (8V),,4,132,(180),III,32800,,19950,18350,17150,16000,
A3 Limousine 2.0 TFSI sport quattro S tronic,(8V),4,140,(190),III,36750,24950,22300,,,,
A3 Limousine 1.6 TDI Attraction (8V),,4,77,(105),IV,26300,,,,11750,11050,
A3 Limousine 1.6 TDI Attraction (8V),,4,81,(110),IV,27500,,14050,12800,11850,,
A3 Limousine 1.6 TDI ultra Attraction (8V),,4,81,(110),IV,27550,,14150,12900,11950,,
A3 Limousine 1.6 TDI (8V),,4,81,(110),IV,27750,16500,14900,,,,
A3 Limousine 1.6 TDI (8V),,4,85,(116),IV,29250,16950,,,,,
A3 Limousine 2.0 TDI Attraction (8V),,4,110,(150),IV,28100,,,,13400,12150,
A3 Limousine 2.0 TDI Attraction quattro (8V),,4,110,(150),IV,30050,,,,14150,12800,
A3 Limousine 2.0 TDI (8V),,4,110,(150),IV,31450,18450,16800,,,,
A3 Limousine 2.0 TDI quattro (8V),,4,110,(150),IV,32650,19450,17700,,,,
A3 Limousine 2.0 TDI Attraction (8V),,4,135,(184),IV,31600,,18050,16550,15400,,
A3 Limousine 2.0 TDI Attraction quattro S Tronic (8V),,4,135,(184),IV,35450,,20050,18350,17050,,
A3 Limousine 2.0 TDI sport quattro S tronic (8V),,4,135,(184),IV,39200,25300,22150,,,,
A3 Cabriolet 1.4 TFSI Attraction (8V),,2,85,(116),III,29900,,18750,,,,
A3 Cabriolet 1.4 TFSI (8V),,2,85,(115),III,32150,22200,19800,,,,
A3 Cabriolet 1.4 TFSI Attraction (8V),,2,92,(125),III,31400,,19700,17950,16150,14450,
A3 Cabriolet 1.4 TFSI cod Attraction (8V),,2,103,(140),III,31700,,,,16500,14950,
A3 Cabriolet 1.4 TFSI cod ultra (8V),,2,110,(150),III,32700,23950,21350,,,,
A3 Cabriolet 1.5 TFSI cod (8V),,2,110,(150),III,34100,24450,,,,,
A3 Cabriolet 1.8 TFSI Attraction (8V),,2,132,(180),III,34850,,22250,19700,18150,16550,
A3 Cabriolet 1.8 TFSI Attraction quattro S tronic (8V),,2,132,(180),III,38700,,24400,21650,19950,,
A3 Cabriolet 2.0 TFSI sport quattro S tronic,(8V),2,140,(190),III,42650,29950,26750,,,,
A3 Cabriolet 1.6 TDI Attraction (8V),,2,81,(110),IV,33400,,18800,16950,15450,,
A3 Cabriolet 2.0 TDI Attraction (8V),,2,110,(150),IV,35750,,20350,18150,16500,14950,
A3 Cabriolet 2.0 TDI Attraction quattro (8V),,2,110,(150),IV,37700,,21200,18900,17200,,
A3 Cabriolet 2.0 TDI (8V),,2,110,(150),IV,37250,23450,20900,,,,
A3 Cabriolet 2.0 TDI quattro (8V),,2,110,(150),IV,38550,24400,21800,,,,
A3 Cabriolet 2.0 TDI Attraction (8V),,2,135,(184),IV,37500,,21250,19150,17500,,
A3 Cabriolet 2.0 TDI Attraction quattro S tronic (8V),,2,135,(184),IV,41350,,23200,20900,19050,,
A3 Cabriolet 2.0 TDI sport quattro S tronic (8V),,2,135,(184),IV,45000,28050,25050,,,,
RS3 Sportback S tronic (8P),,5,250,(340),III,49900,,,,,26500,24100
RS3 Sportback S tronic (8V),,5,270,(367),III,53500,,39000,35400,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",,,,,,,,,,,Seite: 7 von 165,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,

Gebrauchtwagenpreise Herbst/Winter 2018/2019,,,,,,,,,,,,,,,
Alle Marken,,,,,,km- Neu-,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen,,,kW (PS),Kl. preis,,,2017,2016 2015 2014 2013 2012,,,,,2011
Audi,,,,,,,,,,,,,,,
RS3 Sportback S tronic (8V),,,,5,294,(400),III,55900,42100,,,,,,
RS3 Limousine S tronic (8V),,,,4,294,(400),III,57200,42600,,,,,,
S3 (8V),,,,3,221,(300),III,40050,,26200,24600,23050,21300,19850,
S3 (8V),,,,3,228,(310),III,41450,30800,27500,,,,,
S3 Sportback,(8V),,,5,221,(300),III,40950,,27650,26000,24250,22600,,
S3 Sportback,(8V),,,5,228,(310),III,43050,32450,29000,,,,,
S3 Limousine,(8V),,,4,221,(300),III,41550,,27500,25850,24150,22450,,
S3 Limousine,(8V),,,4,228,(310),III,43950,32500,29050,,,,,
S3 Cabriolet S tronic (8V),,,,2,221,(300),III,49350,,31400,27850,26050,,,
S3 Cabriolet S tronic (8V),,,,2,228,(310),III,51850,36500,32600,,,,,
A4 1.8 TFSI Attraction (B8),,,,4,88,(120),IV,28850,,,16250,14500,12900,11200,10050
