Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
,Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
BMW,,,,,,,,,,,,,,
225xe Active Tourer Steptronic (F45),5,165  (224),IV,39650,23600,,,,,,,,,
216i Gran Tourer  (F46),5,75  (102),IV,28600,17600,16250,14500,12950,,,,,,
216i Gran Tourer  (F46),5,80  (109),IV,29100,17900,,,,,,,,,
218i Gran Tourer  (F46),5,100  (136),IV,32100,19800,17650,15750,14050,,,,,,
218i Gran Tourer  (F46),5,103  (140),IV,30150,18600,16850,,,,,,,,
218i Gran Tourer  (F46),5,103  (140),IV,30650,18950,,,,,,,,,
220i Gran Tourer  (F46),5,141  (192),IV,36100,22650,20400,18200,16250,,,,,,
220i Gran Tourer Steptronic (DKG) (F46),5,141  (192),IV,36550,22950,,,,,,,,,
214d Gran Tourer  (F46),5,70  (95),V,29250,,,13700,12500,,,,,,
216d Gran Tourer  (F46),5,85  (116),V,31900,17350,16000,14250,13000,,,,,,
216d Gran Tourer  (F46),5,85  (116),V,32400,17600,,,,,,,,,
218d Gran Tourer  (F46),5,110  (150),V,33900,18450,17000,15200,13850,,,,,,
218d Gran Tourer xDrive (F46),5,110  (150),V,35900,19550,17850,15950,,,,,,,
218d Gran Tourer  (F46),5,110  (150),V,34750,18900,,,,,,,,,
218d Gran Tourer xDrive (F46),5,110  (150),V,36750,20000,,,,,,,,,
220d Gran Tourer  (F46),5,140  (190),V,37800,20600,18850,16850,15650,,,,,,
220d Gran Tourer xDrive Steptronic (F46),5,140  (190),V,41900,22800,20750,18500,17250,,,,,,
220d Gran Tourer Steptronic (F46),5,140  (190),V,40300,21950,,,,,,,,,
220d Gran Tourer xDrive Steptronic (F46),5,140  (190),V,42400,23100,,,,,,,,,
M235i Coupé  (F87) M Performance,2,240  (326),IV,45100,,,24750,23100,21750,19900,,,,
M235i Coupé xDrive Steptronic Sport (F87) M,2,240  (326),IV,49400,,,27100,25300,23850,,,,,
Performance,,,,,,,,,,,,,,
M2 Coupé  (F87) M2,2,272  (370),IV,57500,,40850,37200,33900,,,,,,
M2 Competition Coupé  (F87) M2,2,302  (410),IV,61900,46800,,,,,,,,,
318i Coupé  (E92),2,105  (143),V,31700,,,,,,12100,10800,,,
320i Coupé  (E92),2,125  (170),V,34100,,,,,,13450,12050,,,
325i Coupé  (E92),2,160  (218),V,39400,,,,,,15500,13900,,,
325i Coupé xDrive (E92),2,160  (218),V,42000,,,,,,16500,14800,,,
330i Coupé  (E92),2,200  (272),V,43800,,,,,,17350,15550,,,
330i Coupé xDrive (E92),2,200  (272),V,46400,,,,,,18350,16450,,,
335i Coupé  (E92),2,225  (306),V,46450,,,,,,19900,17850,,,
335i Coupé xDrive (E92),2,225  (306),V,49050,,,,,,21000,18850,,,
320d Coupé  (E92),2,135  (184),VI,37400,,,,,,12600,11300,,,
320d Coupé xDrive (E92),2,135  (184),VI,40000,,,,,,13450,12050,,,
325d Coupé  (E92),2,150  (204),VI,40600,,,,,,14600,13100,,,
330d Coupé  (E92),2,180  (245),VI,44750,,,,,,15050,13500,,,
330d Coupé xDrive (E92),2,180  (245),VI,47350,,,,,,15900,14300,,,
335d Coupé Automatic (E92),2,210  (286),VI,49450,,,,,,17550,15750,,,
318i Cabrio  (E93),2,105  (143),IV,39100,,,,,,14150,12950,,,
320i Cabrio  (E93),2,125  (170),IV,41500,,,,,,16050,14700,,,
325i Cabrio  (E93),2,160  (218),IV,46800,,,,,,18200,16500,,,
330i Cabrio  (E93),2,200  (272),IV,50200,,,,,,19300,17500,,,
335i Cabrio  (E93),2,225  (306),IV,52850,,,,,,21550,19550,,,
320d Cabrio  (E93),2,135  (184),V,44800,,,,,,15250,13650,,,
325d Cabrio  (E93),2,150  (204),V,48000,,,,,,16200,14500,,,
330d Cabrio  (E93),2,180  (245),V,51100,,,,,,17900,16050,,,
316i  (F30),4,100  (136),V,28500,,,,,,11850,10700,,,
318i  (F30),4,100  (136),V,33400,20100,17750,16350,14900,,,,,,
320i EfficientDynamics Edition  (F30),4,125  (170),V,34250,,,,17300,15450,13950,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 20 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
BMW,,,,,,,,,,,,,,
320i  (F30),4,135  (184),V,33100,,,,,,14700,12250,,,
320i xDrive (F30),4,135  (184),V,35600,,,,,,14600,13150,,,
320i  (F30),4,135  (184),V,37850,21050,19950,18800,17300,,,,,,
320i xDrive (F30),4,135  (184),V,40350,25000,22300,20550,18550,,,,,,
328i  (F30),4,180  (245),V,37400,,,,,,15800,14550,,,
328i xDrive (F30),4,180  (245),V,39900,,,,,,16950,14550,,,
330i Advantage (F30),4,185  (252),V,43200,25700,23400,21550,19250,,,,,,
330i Advantage xDrive Steptronic (F30),4,185  (252),V,47850,27000,24850,23800,21250,,,,,,
335i  (F30),4,225  (306),V,43950,,,,,,19700,17150,,,
335i xDrive (F30),4,225  (306),V,46450,,,,,,19800,17250,,,
340i Advantage (F30),4,240  (326),V,46650,,27200,25550,22800,,,,,,
340i Advantage xDrive (F30),4,240  (326),V,49150,,30150,27500,24550,,,,,,
316d  (F30),4,85  (116),VI,31850,,,,12800,11550,10650,9425,,,
316d  (F30),4,85  (116),VI,35850,18750,15900,14050,13350,,,,,,
318d  (F30),4,105  (143),VI,33750,,,,13400,12400,10900,9825,,,
318d xDrive (F30),4,105  (143),VI,36250,,,,14400,13350,11700,,,,
318d  (F30),4,110  (150),VI,37850,19100,16250,14800,13900,,,,,,
318d xDrive (F30),4,110  (150),VI,39750,19750,17600,16200,14450,,,,,,
320d EfficientDynamics Edition  (F30),4,120  (163),VI,36500,,,,14850,13100,12100,10500,,,
320d EfficientDynamics Edition BluePerformance,4,120  (163),VI,36500,,,,14250,12600,11050,,,,
(F30),,,,,,,,,,,,,,
320d EfficientDynamics Edition  (F30),4,120  (163),VI,40450,19500,17400,16650,14600,,,,,,
320d  (F30),4,135  (184),VI,36500,,,,15250,13450,11800,11200,,,
320d xDrive (F30),4,135  (184),VI,39000,,,,15850,14000,12300,11700,,,
320d  (F30),4,140  (190),VI,40450,21850,18350,17100,15700,,,,,,
320d xDrive (F30),4,140  (190),VI,45100,22750,20300,18150,17200,,,,,,
325d Advantage (F30),4,160  (218),VI,41100,,,19250,17200,,,,,,
325d Advantage (F30),4,165  (224),VI,43850,25850,22400,19600,,,,,,,
330d BluePerformance Steptronic (F30),4,190  (258),VI,45550,,,,19950,18350,16550,,,,
330d BluePerformance xDrive Steptronic (F30),4,190  (258),VI,48050,,,,22150,19550,17500,,,,
330d Steptronic (F30),4,190  (258),VI,45550,,,,19550,17600,15900,14650,,,
330d xDrive Steptronic (F30),4,190  (258),VI,48050,,,,22150,19550,17150,,,,
330d Advantage Steptronic (F30),4,190  (258),VI,50650,28600,24800,21700,19350,,,,,,
330d Advantage xDrive Steptronic (F30),4,190  (258),VI,53150,30150,26100,23350,20850,,,,,,
335d xDrive Steptronic (F30),4,230  (313),VI,50600,,,,24250,20800,20500,,,,
335d Advantage xDrive Steptronic (F30),4,230  (313),VI,52500,,28100,26650,23800,,,,,,
330e iPerformance Steptronic (F30),4,185  (252),V,44750,27700,,,,,,,,,
ActiveHybrid 3 Automatic (F30),4,250  (340),V,52750,,,,,,20150,17450,,,
316i Touring  (F31),5,100  (136),V,31400,,,,15350,13850,12650,,,,
320i Touring  (F31),5,135  (184),V,36000,,,,17900,16650,14750,,,,
320i Touring xDrive (F31),5,135  (184),V,38500,,,,18600,17300,15300,,,,
320i Touring  (F31),5,135  (184),V,39550,21850,21000,19500,18350,,,,,,
320i Touring xDrive (F31),5,135  (184),V,42050,24900,23150,20850,19200,,,,,,
328i Touring  (F31),5,180  (245),V,39150,,,,,,15650,14800,,,
328i Touring xDrive (F31),5,180  (245),V,42800,,,,20200,18400,16250,,,,
330i Touring Advantage (F31),5,185  (252),V,44950,25700,24900,22950,20450,,,,,,
330i Touring Advantage xDrive Steptronic (F31),5,185  (252),V,49600,28600,26600,26000,23250,,,,,,
335i Touring  (F31),5,225  (306),V,45700,,,,,,20050,,,,
335i Touring xDrive Automatic (F31),5,225  (306),V,50450,,,,,,22150,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 21 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
BMW,,,,,,,,,,,,,,
340i Touring Advantage Steptronic (F31),5,240  (326),V,50550,,28500,26800,23900,,,,,,
340i Touring Advantage xDrive Steptronic (F31),5,240  (326),V,53050,,31200,28700,25650,,,,,,
316d Touring  (F31),5,85  (116),VI,33600,,,,12600,11100,10250,9425,,,
316d Touring  (F31),5,85  (116),VI,37600,19500,16250,14100,12850,,,,,,
318d Touring  (F31),5,105  (143),VI,35500,,,,13950,12300,11050,9575,,,
318d Touring xDrive (F31),5,105  (143),VI,38000,,,,14650,12950,11550,,,,
318d Touring  (F31),5,110  (150),VI,39600,19200,17850,15300,13550,,,,,,
318d Touring xDrive (F31),5,110  (150),VI,41450,22200,19850,16850,15050,,,,,,
320d Touring EfficientDynamics Ed.,5,120  (163),VI,38250,,,,14200,12550,11000,,,,
BluePerformance  (F31),,,,,,,,,,,,,,
320d Touring EfficientDynamics Edition  (F31),5,120  (163),VI,38250,,,,14500,13050,11450,,,,
320d Touring  (F31),5,135  (184),VI,38250,,,,14700,13100,12000,11450,,,
320d Touring xDrive (F31),5,135  (184),VI,40750,,,,15900,14050,12800,,,,
320d Touring  (F31),5,140  (190),VI,42150,21600,18150,16550,15550,,,,,,
320d Touring xDrive (F31),5,140  (190),VI,46800,23700,20500,17600,16350,,,,,,
325d Touring  (F31),5,160  (218),VI,41400,,,,17150,15150,13250,,,,
325d Touring Advantage (F31),5,160  (218),VI,42850,,,19200,17150,,,,,,
325d Touring Advantage (F31),5,165  (224),VI,45600,25250,22100,19750,,,,,,,
330d Touring Steptronic (F31),5,190  (258),VI,47300,,,,21650,18350,16400,15000,,,
330d Touring xDrive Steptronic (F31),5,190  (258),VI,49800,,,,21850,18900,17950,,,,
330d Touring Advantage Steptronic (F31),5,190  (258),VI,52450,29100,25200,22950,20100,,,,,,
330d Touring Advantage xDrive Steptronic (F31),5,190  (258),VI,54950,29050,25200,23200,21150,,,,,,
335d Touring xDrive Steptronic (F31),5,230  (313),VI,52350,,,,24950,21150,18550,,,,
335d Touring Advantage xDrive Steptronic (F31),5,230  (313),VI,52350,,,,24950,,,,,,
320i Gran Turismo  (F34),5,135  (184),V,37750,,,20250,19200,17100,15750,,,,
320i Gran Turismo xDrive (F34),5,135  (184),V,40250,,,22250,20250,18400,16600,,,,
328i Gran Turismo  (F34),5,180  (245),V,41700,,,,20400,17950,16550,,,,
328i Gran Turismo xDrive Steptronic (F34),5,180  (245),V,46350,,,,21450,19250,17350,,,,
330i Gran Turismo Advantage Steptronic (F34),5,185  (252),V,48450,29500,26900,23500,,,,,,,
330i Gran Turismo Advantage xDrive Steptronic (F34),5,185  (252),V,50950,30800,28350,25300,,,,,,,
335i Gran Turismo  (F34),5,225  (306),V,47200,,,,,,19100,,,,
335i Gran Turismo xDrive Steptronic (F34),5,225  (306),V,52600,,,,25800,23300,21000,,,,
340i Gran Turismo Advantage Steptronic (F34),5,240  (326),V,52350,,29750,26550,,,,,,,
340i Gran Turismo Advantage xDrive Steptronic (F34),5,240  (326),V,54850,,31150,28100,,,,,,,
318d Gran Turismo  (F34),5,105  (143),VI,36300,,,,,13750,13300,,,,
318d Gran Turismo  (F34),5,110  (150),VI,37500,,,17050,15250,,,,,,
320d Gran Turismo  (F34),5,135  (184),VI,40000,,,,16950,15450,13800,,,,
320d Gran Turismo xDrive (F34),5,135  (184),VI,42500,,,,17850,15800,13850,,,,
320d Gran Turismo  (F34),5,140  (190),VI,40250,,,18550,16750,,,,,,
320d Gran Turismo xDrive (F34),5,140  (190),VI,42750,,,19250,18050,,,,,,
325d Gran Turismo Advantage Steptronic (F34),5,165  (224),VI,49000,26700,23850,21300,,,,,,,
330d Gran Turismo Steptronic (F34),5,190  (258),VI,49050,,,,21000,18550,,,,,
330d Gran Turismo xDrive Steptronic (F34),5,190  (258),VI,51550,,,,22200,20800,,,,,
330d Gran Turismo Advantage Steptronic (F34),5,190  (258),VI,50100,,,23150,21100,,,,,,
330d Gran Turismo Advantage xDrive Steptronic (F34),5,190  (258),VI,52600,,,24850,22200,,,,,,
335d Gran Turismo xDrive Steptronic (F34),5,230  (313),VI,53750,,,,23500,20950,,,,,
335d Gran Turismo Advantage xDrive Steptronic (F34),5,230  (313),VI,54850,,,25150,23650,,,,,,
M3  (F80) M3,4,317  (431),V,71800,,,,40850,37450,,,,,
M3  (F80) M3,4,317  (431),V,77500,50850,46850,42250,40850,,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 22 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
BMW,,,,,,,,,,,,,,
M3 Competition Paket  (F80) M3,4,331  (450),V,84800,55100,49200,45050,,,,,,,
420i Coupé  (F32),2,135  (184),V,37550,,21000,19550,18350,17250,15700,,,,
420i Coupé xDrive (F32),2,135  (184),V,40050,,22300,20750,19500,18300,16750,,,,
420i Coupé Advantage (F32),2,135  (184),V,41100,25800,23150,,,,,,,,
420i Coupé Advantage xDrive (F32),2,135  (184),V,40800,,22700,21150,19850,,,,,,
428i Coupé  (F32),2,180  (245),V,41400,,,,19150,17950,16800,,,,
428i Coupé Advantage xDrive (F32),2,180  (245),V,45000,,,22100,20700,,,,,,
430i Coupé Advantage (F32),2,185  (252),V,43300,,24100,22450,,,,,,,
430i Coupé Advantage xDrive Steptronic (F32),2,185  (252),V,47950,,26600,24750,,,,,,,
430i Coupé Advantage (F32),2,185  (252),V,48400,29650,25900,,,,,,,,
430i Coupé Advantage xDrive Steptronic (F32),2,185  (252),V,50900,31100,28450,,,,,,,,
435i Coupé  (F32),2,225  (306),V,48100,,,,23900,22100,20550,,,,
435i Coupé Advantage xDrive (F32),2,225  (306),V,51700,,,27550,25500,,,,,,
440i Coupé Advantage (F32),2,240  (326),V,50000,,28800,26850,,,,,,,
440i Coupé Advantage xDrive (F32),2,240  (326),V,52500,,30100,28000,,,,,,,
440i Coupé Sport Line (F32),2,240  (326),V,57150,36300,33100,,,,,,,,
440i Coupé Sport Line xDrive (F32),2,240  (326),V,59650,37700,34450,,,,,,,,
418d Coupé  (F32),2,110  (150),VI,38600,,19600,18250,17050,,,,,,
420d Coupé  (F32),2,135  (184),VI,39500,,,,17450,15950,14950,,,,
420d Coupé xDrive (F32),2,135  (184),VI,42000,,,,18400,16850,15750,,,,
420d Coupé  (F32),2,140  (190),VI,40800,,20300,18900,17650,,,,,,
420d Coupé xDrive (F32),2,140  (190),VI,43300,,21450,19950,18600,,,,,,
420d Coupé Advantage (F32),2,140  (190),VI,44450,25150,22450,,,,,,,,
420d Coupé Advantage xDrive (F32),2,140  (190),VI,49100,27650,24700,,,,,,,,
425d Coupé  (F32),2,160  (218),VI,43000,,,,19450,17850,,,,,
430d Coupé Steptronic (F32),2,190  (258),VI,49600,,,,22550,20700,18850,,,,
430d Coupé xDrive Steptronic (F32),2,190  (258),VI,52100,,,,23500,21600,,,,,
430d Coupé Advantage Steptronic (F32),2,190  (258),VI,54250,32450,29250,,,,,,,,
430d Coupé Advantage xDrive Steptronic (F32),2,190  (258),VI,56750,33750,30450,,,,,,,,
435d Coupé xDrive Steptronic (F32),2,230  (313),VI,54600,,,,25350,23000,21300,,,,
435d Coupé Sport Line xDrive Steptronic (F32),2,230  (313),V,70100,40800,38000,,,,,,,,
420i Cabrio  (F33),2,135  (184),IV,44700,,24950,23200,21950,20350,,,,,
420i Cabrio Advantage (F33),2,135  (184),IV,48450,29650,27150,,,,,,,,
428i Cabrio  (F33),2,180  (245),IV,48500,,,,23650,21750,20250,,,,
428i Cabrio xDrive Steptronic (F33),2,180  (245),IV,53150,,,,25750,23700,21150,,,,
430i Cabrio Advantage (F33),2,185  (252),IV,50400,,28800,26850,,,,,,,
430i Cabrio Advantage xDrive Steptronic (F33),2,185  (252),IV,55050,,30850,28750,,,,,,,
430i Cabrio Advantage (F33),2,185  (252),IV,53550,32750,30450,,,,,,,,
430i Cabrio Advantage xDrive Steptronic (F33),2,185  (252),IV,58200,35000,32550,,,,,,,,
435i Cabrio  (F33),2,225  (306),IV,54300,,,,26600,24850,23000,,,,
435i Cabrio xDrive (F33),2,225  (306),IV,56800,,,,27650,25800,,,,,
440i Cabrio Advantage Steptronic (F33),2,240  (326),IV,58350,,32600,30400,,,,,,,
440i Cabrio Advantage xDrive Steptronic (F33),2,240  (326),IV,60850,,33800,31550,,,,,,,
440i Cabrio Sport Line Steptronic (F33),2,240  (326),IV,65700,40000,36850,,,,,,,,
440i Cabrio Sport Line xDrive Steptronic (F33),2,240  (326),IV,68200,41350,38100,,,,,,,,
420d Cabrio  (F33),2,135  (184),V,46600,,,,20800,19200,17750,,,,
420d Cabrio  (F33),2,140  (190),V,47900,,24850,23150,21100,,,,,,
420d Cabrio Advantage (F33),2,140  (190),V,51700,29650,27100,,,,,,,,
425d Cabrio  (F33),2,160  (218),V,50100,,,,22450,20650,,,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 23 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
BMW,,,,,,,,,,,,,,
425d Cabrio Advantage (F33),2,165  (224),VI,44800,,23200,21350,,,,,,,
430d Cabrio Steptronic (F33),2,190  (258),V,55850,,,,26000,23450,,,,,
430d Cabrio Advantage Steptronic (F33),2,190  (258),V,60600,35850,32800,,,,,,,,
435d Cabrio xDrive Steptronic (F33),2,230  (313),V,60850,,,,28050,25600,,,,,
435d Cabrio Sport Line xDrive Steptronic (F33),2,230  (313),VI,61200,34000,31650,,,,,,,,
420i Gran Coupé  (F36),5,135  (184),VI,39500,,,,17100,15800,,,,,
420i Gran Coupé xDrive (F36),5,135  (184),VI,42000,,,,18100,16750,,,,,
420i Gran Coupé Advantage (F36),5,135  (184),V,41100,24850,22400,,,,,,,,
420i Gran Coupé Advantage xDrive (F36),5,135  (184),V,43600,26250,23700,,,,,,,,
428i Gran Coupé  (F36),5,180  (245),V,41400,,,,19550,18350,,,,,
428i Gran Coupé xDrive (F36),5,180  (245),V,43900,,,,20600,19350,,,,,
430i Gran Coupé Advantage (F36),5,185  (252),V,43300,,24450,22800,,,,,,,
430i Gran Coupé Advantage xDrive Steptronic (F36),5,185  (252),V,47950,,26900,25100,,,,,,,
430i Gran Coupé Advantage (F36),5,185  (252),V,46250,28250,25500,,,,,,,,
430i Gran Coupé Advantage xDrive Steptronic (F36),5,185  (252),V,50900,30950,27900,,,,,,,,
435i Gran Coupé  (F36),5,225  (306),V,48100,,,,23150,21650,,,,,
435i Gran Coupé xDrive (F36),5,225  (306),V,50600,,,,24200,22650,,,,,
440i Gran Coupé Advantage Steptronic (F36),5,240  (326),V,52150,,29800,27500,,,,,,,
440i Gran Coupé Advantage xDrive Steptronic (F36),5,240  (326),V,54650,,31050,28650,,,,,,,
440i Gran Coupé Sport Line Steptronic (F36),5,240  (326),V,56900,34750,32350,,,,,,,,
440i Gran Coupé Sport Line xDrive Steptronic (F36),5,240  (326),V,59400,36100,33600,,,,,,,,
418d Gran Coupé  (F36),5,105  (143),VI,37300,,,,16100,14900,,,,,
418d Gran Coupé  (F36),5,110  (150),VI,38600,,19450,18150,16850,,,,,,
418d Gran Coupé Advantage (F36),5,110  (150),VI,42100,22950,21050,,,,,,,,
420d Gran Coupé  (F36),5,140  (190),VI,40800,,19800,18450,17300,,,,,,
420d Gran Coupé xDrive (F36),5,140  (190),VI,43300,,20900,19450,18300,,,,,,
420d Gran Coupé Advantage (F36),5,140  (190),VI,44450,23350,21300,,,,,,,,
420d Gran Coupé Advantage xDrive (F36),5,140  (190),VI,49100,25800,23450,,,,,,,,
430d Gran Coupé Steptronic (F36),5,190  (258),VI,49300,,,,21200,19400,,,,,
430d Gran Coupé xDrive Steptronic (F36),5,190  (258),VI,51800,,,,22200,20300,,,,,
430d Gran Coupé Advantage Steptronic (F36),5,190  (258),VI,54250,28950,26400,,,,,,,,
430d Gran Coupé Advantage xDrive Steptronic (F36),5,190  (258),VI,56750,30300,27550,,,,,,,,
435d Gran Coupé xDrive Steptronic (F36),5,230  (313),VI,54600,,,,24600,22600,,,,,
M4 Coupé  (F82) M4,2,317  (431),V,73700,,44050,41050,38200,35500,,,,,
M4 Coupé  (F82) M4,2,317  (431),V,79100,50650,47150,,,,,,,,
M4 Coupé Competition Paket  (F82) M4,2,331  (450),V,81000,,47900,44650,,,,,,,
M4 Coupé  (F82) M4,2,331  (450),V,86600,54800,,,,,,,,,
M4 Coupé Competition Paket  (F82) M4,2,331  (450),V,86400,54550,51000,,,,,,,,
M4 Cabrio  (F83) M4,2,317  (431),IV,79700,,48300,44550,40800,38200,,,,,
M4 Cabrio  (F83) M4,2,317  (431),IV,85500,55300,51450,,,,,,,,
M4 Cabrio Competition Paket  (F83) M4,2,331  (450),IV,86100,,51600,48150,,,,,,,
M4 Cabrio  (F83) M4,2,331  (450),IV,92100,58850,,,,,,,,,
M4 Cabrio Competition Paket  (F83) M4,2,331  (450),IV,91900,58600,54200,,,,,,,,
535i Gran Turismo Automatic (F07),5,225  (306),VI,57400,,,,,,18400,16350,,,
535i Gran Turismo xDrive Automatic (F07),5,225  (306),VI,60000,,,,,,19350,17200,,,
535i Gran Turismo Steptronic (F07),5,225  (306),VI,60700,36450,33900,29950,26750,23700,21000,,,,
535i Gran Turismo xDrive Steptronic (F07),5,225  (306),VI,63300,37500,34900,30850,27550,24400,21650,,,,
550i Gran Turismo Automatic (F07),5,330  (450),VI,77700,,,,,,23050,20550,,,
550i Gran Turismo xDrive Automatic (F07),5,330  (450),VI,80300,,,,,,24450,21750,,,
,,,,,,,,,,,,,,
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",Seite: 24 von 171,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Herbst/Winter 2019/2020,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,,
BMW,,,,,,,,,,,,,,
550i Gran Turismo Steptronic (F07),5,330  (450),VI,78900,45200,42050,36800,32550,27150,23800,,,,
550i Gran Turismo xDrive Steptronic (F07),5,330  (450),VI,81500,46700,43500,38050,33600,28900,25350,,,,
520d Gran Turismo Automatic (F07),5,135  (184),VII,48700,,,,,,14750,13350,,,
520d Gran Turismo Steptronic (F07),5,135  (184),VII,52600,28400,26450,22450,20000,18100,15550,,,,
530d Gran Turismo Automatic (F07),5,190  (258),VII,56900,,,,,,17250,15600,,,
530d Gran Turismo BluePerformance Automatic (F07),5,190  (258),VII,60800,33100,30850,26150,23300,20450,18100,,,,
530d Gran Turismo xDrive Automatic (F07),5,190  (258),VII,59500,,,,,,18000,16300,,,
530d Gran Turismo xDrive Steptronic (F07),5,190  (258),VII,63400,34600,32200,27350,24350,21400,18900,,,,
535d Gran Turismo Automatic (F07),5,230  (313),VII,61800,,,,,,18400,16650,,,
535d Gran Turismo xDrive Automatic (F07),5,230  (313),VII,64400,,,,,,19150,17350,,,
535d Gran Turismo Steptronic (F07),5,230  (313),VII,65400,35950,33500,28700,25050,21800,19850,,,,
535d Gran Turismo xDrive Steptronic (F07),5,230  (313),VII,68000,37400,34850,29850,26050,22650,20650,,,,
520i  (F10),4,135  (184),VI,40200,,,,,,14500,13150,,,
520i  (F10),4,135  (184),VI,41500,,,21400,19750,17700,15500,,,,
528i  (F10),4,180  (245),VI,45300,,,,,,16200,14550,,,
528i xDrive Automatic (F10),4,180  (245),VI,50100,,,,,,18100,16250,,,
528i  (F10),4,180  (245),VI,46600,,,22900,21000,18800,17000,,,,
528i xDrive Steptronic (F10),4,180  (245),VI,51400,,,25850,23700,21200,19150,,,,
530i  (F10),4,200  (272),VI,46800,,,,,,17700,15550,,,
535i  (F10),4,225  (306),VI,53100,,,24950,23350,21550,19550,,,,
535i xDrive Steptronic (F10),4,225  (306),VI,57900,,,27250,25500,23550,21350,,,,
550i Automatic (F10),4,300  (407),VI,71500,,,,,,23400,20700,,,
550i xDrive Automatic (F10),4,300  (407),VI,74100,,,,,,24250,21450,,,
550i Steptronic (F10),4,330  (450),VI,73200,,,35250,32900,29200,25350,,,,
550i xDrive Steptronic (F10),4,330  (450),VI,75800,,,36050,33650,29850,25950,,,,
518d  (F10),4,105  (143),VII,39900,,,,,13400,11400,,,,
518d  (F10),4,110  (150),VII,40700,,,16800,15400,13450,,,,,
520d  (F10),4,135  (184),VII,41100,,,,,,13050,11650,,,
520d EfficientDynamics Edition  (F10),4,135  (184),VII,41700,,,,,,13250,11750,,,
520d  (F10),4,135  (184),VII,42400,,,,,15050,14150,,,,
520d xDrive Steptronic (F10),4,135  (184),VII,47200,,,,,16750,15750,,,,
520d  (F10),4,140  (190),VII,43200,,,18600,16700,15150,,,,,
