Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
A3 Limousine 2.0 TFSI sport quattro S tronic  (8V),4,140  (190),,III,36750,,27200,26900,24200,21550,,,,
A3 Limousine 40 TFSI sport quattro S tronic  (8V),4,140  (190),,III,36311,28850,27300,,,,,,,
A3 Limousine 1.6 TDI Attraction (8V),4,81  (110),,V,27500,,,,,14050,12900,11800,,
A3 Limousine 1.6 TDI ultra Attraction (8V),4,81  (110),,V,27550,,,,,14250,12600,11500,,
A3 Limousine 1.6 TDI  (8V),4,81  (110),,V,27750,,,,15550,13850,,,,
A3 Limousine 1.6 TDI  (8V),4,85  (116),,V,29250,,,15800,14850,,,,,
A3 Limousine 2.0 TDI  (8V),4,110  (150),,V,33450,,,18300,17200,16150,,,,
A3 Limousine 2.0 TDI quattro (8V),4,110  (150),,V,32650,,,19300,18300,17200,,,,
A3 Limousine 35 TDI  (8V),4,110  (150),,V,31194,20200,19450,18300,,,,,,
A3 Limousine 2.0 TDI Attraction (8V),4,135,-184,V,31600,,,,,17500,15500,13950,,
A3 Limousine 2.0 TDI Attraction quattro S tronic (8V),4,135,-184,V,35450,,,,,19550,17350,15900,,
A3 Limousine 2.0 TDI sport quattro S tronic (8V),4,135,-184,V,39200,,26450,24900,23150,20000,,,,
A3 Limousine 40 TDI sport quattro S tronic  (8V),4,135,-184,V,38747,28300,26800,,,,,,,
A3 Cabriolet 1.4 TFSI Attraction (8V),2,85  (116),,III,29900,,,,,18550,,,,
A3 Cabriolet 1.4 TFSI  (8V),2,85  (115),,III,32150,,,21600,20200,18000,,,,
A3 Cabriolet 1.4 TFSI Attraction (8V),2,92  (125),,III,31400,,,,,18900,16700,15450,,
A3 Cabriolet 1.4 TFSI cod ultra  (8V),2,110  (150),,III,32700,,,,22450,19400,,,,
A3 Cabriolet 1.5 TFSI cod  (8V),2,110  (150),,III,34100,,,24950,22000,,,,,
A3 Cabriolet 35 TFSI cod  (8V),2,110  (150),,III,33728,28300,26800,25000,,,,,,
A3 Cabriolet 1.8 TFSI Attraction (8V),2,132,-180,III,34850,,,,,20750,18750,17350,,
A3 Cabriolet 1.8 TFSI Attraction quattro S tronic (8V),2,132,-180,III,38700,,,,,22800,20600,19050,,
A3 Cabriolet 2.0 TFSI sport quattro S tronic  (8V),2,140  (190),,III,42650,,31850,29750,27850,24800,,,,
A3 Cabriolet 40 TFSI sport quattro S tronic  (8V),2,140  (190),,III,42063,35750,32200,,,,,,,
A3 Cabriolet 1.6 TDI Attraction (8V),2,81  (110),,V,33400,,,,,15750,13650,12250,,
A3 Cabriolet 2.0 TDI Attraction (8V),2,110  (150),,V,35750,,,,,17650,15250,13700,,
A3 Cabriolet 2.0 TDI Attraction quattro (8V),2,110  (150),,V,37700,,,,,18400,15900,14250,,
A3 Cabriolet 2.0 TDI  (8V),2,110  (150),,V,37250,,,21300,20200,18200,,,,
A3 Cabriolet 2.0 TDI quattro (8V),2,110  (150),,V,38550,,,22200,21050,18950,,,,
A3 Cabriolet 2.0 TDI Attraction (8V),2,135,-184,V,37500,,,,,18450,16150,14500,,
A3 Cabriolet 2.0 TDI Attraction quattro S tronic (8V),2,135,-184,V,41350,,,,,20150,17600,15800,,
A3 Cabriolet 2.0 TDI sport quattro S tronic (8V),2,135,-184,V,45000,,,26300,23500,20750,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 7 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
Audi,,,,,,,,,,,,,,
A3 Sportback 30 TFSI  (8Y),5,81  (110),,III,28650,22650,,,,,,,,
A3 Sportback 35 TFSI  (8Y),5,110  (150),,III,28172,23900,,,,,,,,
A3 Sportback 30 TDI  (8Y),5,85  (116),,V,29146,23750,,,,,,,,
