Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
Lodgy SCe 100 LPG Start&Stop Picknick  (SD),5,72  (98),IV,11690,,,,,,6225,,,,
Lodgy Stepway SCe 100 LPG Start&Stop  (5-Sitzer),5,75  (102),IV,14100,,,10700,,,,,,,
(SD),,,,,,,,,,,,,,
Lodgy SCe 100 LPG Start&Stop Essential  (5-Sitzer),5,75  (102),IV,12200,,,9400,,,,,,,
(SD),,,,,,,,,,,,,,
Lodgy Stepway SCe 100 LPG Start&Stop  (5-Sitzer),5,79  (107),IV,14100,,11800,10550,,,,,,,
(SD),,,,,,,,,,,,,,
Lodgy SCe 100 LPG Start&Stop Essential  (5-Sitzer),5,79  (107),IV,12200,,10200,9125,,,,,,,
(SD),,,,,,,,,,,,,,
Lodgy Stepway SCe 100 ECO-G Plus  (5-Sitzer) (SD),5,80  (109),IV,14418,14200,,,,,,,,,
Lodgy SCe 100 ECO-G Start  (5-Sitzer) (SD),5,80  (109),IV,11688,11500,,,,,,,,,
Logan MCV 1.2 16V 75 Essentiel (II),5,54  (73),III,7990,,,,,5725,5100,,,,
Logan MCV SCe 75 Access (II),5,54  (73),III,7990,,,6975,,,,,,,
Logan MCV 1.2 16V 75 Essentiel (II),5,55  (75),III,7990,,,,,,4900,4350,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 47 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
,Fahrzeug/Modell (Generation**),,Türen kW (PS),Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
Dacia,,,,,,,,,,,,,,
,Logan MCV Stepway TCe 90 Start&Stop Celebration,5,66  (90),III,12200,,,10750,9450,,,,,
(II),,,,,,,,,,,,,,
,Logan MCV TCe 90 Lauréate (II),5,66  (90),III,11090,,,,,,6650,6025,,
,Logan MCV TCe 90 Start&Stop Celebration (II),5,66  (90),III,11690,,,,,,7050,,,
,Logan MCV TCe 90 Start&Stop Lauréate (II),5,66  (90),III,11300,,,9950,8750,7575,,,,
,Logan MCV Stepway dCi 90 Start&Stop Celebration (II)5,,66  (90),V,14050,,,10450,9325,,,,,
,Logan MCV dCi 90 Lauréate (II),5,66  (90),V,12890,,,,,,5925,5175,,
,Logan MCV dCi 90 Start&Stop Celebration (II),5,66  (90),V,13490,,,,,,6250,,,
,Logan MCV dCi 90 Start&Stop Lauréate (II),5,66  (90),V,13150,,,9775,8725,7700,,,,
,Logan MCV Blue dCi 95 Essential (II),5,70  (95),V,11405,11150,,,,,,,,
,Logan MCV 1.2 16V LPG 75 Ambiance  (II),5,53  (72),III,9490,,,,,,5650,5200,,
,Logan MCV TCe 90 LPG Start&Stop Ambiance  (II),5,66  (90),III,10890,,,,,7525,6650,,,
,Logan MCV TCe 90 LPG Start&Stop Ambiance  (II),5,66  (90),III,11100,,,9500,8550,7600,,,,
,Logan MCV Stepway TCe 100 ECO-G  (II),5,74  (101),III,12672,11050,,,,,,,,
,Logan MCV TCe 100 ECO-G Essential  (II),5,74  (101),III,10626,9275,,,,,,,,
,Sandero Stepway SCe 75 Essential (II),5,54  (73),III,9100,8825,7925,7075,,,,,,
Sandero,1.2 16V 75 Essentiel (II),5,54  (73),III,6890,,,,,4675,4100,,,
,Sandero SCe 75 Access (II),5,54  (73),III,6990,,,5550,,,,,,
Sandero,1.2 16V 75 Essentiel (II),5,55  (75),III,6890,,,,,,4175,3800,,
,Sandero Stepway TCe 90 Ambiance (II),5,66  (90),III,9590,,,,,,5400,4950,,
,Sandero Stepway TCe 90 Start&Stop Ambiance (II),5,66  (90),III,9590,,,,,5975,5250,,,
,Sandero Stepway TCe 90 Ambiance (II),5,66  (90),III,9990,,,8100,6650,6225,,,,
,Sandero TCe 90 Lauréate (II),5,66  (90),III,10090,,,,,,5500,5000,,
,Sandero TCe 90 Start&Stop Lauréate (II),5,66  (90),III,10190,,,,,6225,5475,,,
,Sandero TCe 90 Lauréate (II),5,66  (90),III,10200,,,8250,6800,6375,,,,
,Sandero Stepway TCe 100 Prestige (II),5,74  (101),III,12468,10850,,,,,,,,
,Sandero TCe 100 Comfort (II),5,74  (101),III,11103,9725,,,,,,,,
,Sandero Stepway dCi 90 Ambiance (II),5,66  (90),V,11390,,,,,,5550,4975,,
,Sandero Stepway dCi 90 Start&Stop Ambiance (II),5,66  (90),V,11390,,,,,6325,5450,,,
,Sandero Stepway dCi 90 Ambiance (II),5,66  (90),V,11850,,,8525,7625,6850,,,,
,Sandero dCi 90 Start&Stop Lauréate (II),5,66  (90),V,11990,,,,,6500,5600,,,
,Sandero dCi 90 Lauréate Easy-R (II),5,66  (90),V,12050,,,8675,7750,7000,,,,
,Sandero Stepway Blue dCi 95 Essential (II),5,70  (95),V,11259,10350,9225,8225,,,,,,
,Sandero Blue dCi 95 Essential (II),5,70  (95),V,10285,9075,,,,,,,,
,Sandero 1.2 16V LPG 75 Ambiance  (II),5,53  (72),III,8390,,,,,,4475,4100,,
,Sandero Stepway TCe 90 LPG Comfort  (II),5,66  (90),III,11450,,9775,8700,,,,,,
,Sandero TCe 90 LPG Start&Stop Ambiance  (II),5,66  (90),III,9790,,,,,5675,5000,,,
,Sandero TCe 90 LPG Ambiance  (II),5,66  (90),III,10000,,,7575,6600,5975,,,,
,Sandero Stepway TCe 100 ECO-G Essential  (II),5,74  (101),IV,10615,8925,,,,,,,,
,Sandero TCe 100 ECO-G Essential  (II),5,74  (101),IV,9641,8100,,,,,,,,
,Sandero SCe 65 Access (III),5,49  (67),III,8990,7400,,,,,,,,
,Sandero Stepway TCe 90 Essential (III),5,67  (91),III,13250,9925,,,,,,,,
,Sandero TCe 90 Essential (III),5,67  (91),III,11450,9050,,,,,,,,
,Sandero Stepway TCe 100 ECO-G Essential  (III),5,67  (91),III,13750,10000,,,,,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 48 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
,Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,
,Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,
Dacia,,,,,,,,,,,,,,
,Sandero TCe 100 ECO-G Essential  (III),5,67  (91),,III,13350,10100,,,,,,,
,Sandero TCe 100 ECO-G Essential  (III),5,74  (101),,III,11950,9125,,,,,,,
,DS Automobiles,,,,,,,,,,,,,
DS,3 PureTech 82 So Chic (S),3,60  (82),,III,17140,,,10250,9325,8325,,,
DS,3 PureTech 110 Stop&Start So Chic (S),3,81  (110),,III,19290,,,,,10000,8800,7875,
DS,3 PureTech 110 Stop&Start So Chic (S),3,81  (110),,III,19190,,,11350,10500,9375,,,
DS,3 PureTech 130 Stop&Start So Chic (S),3,96  (130),,III,20690,,,12600,11000,10100,,,
DS,3 THP 155 So Paris (S),3,115,-156,III,22815,,,,,,9725,8875,
DS,3 THP 165 Stop&Start So Paris (S),3,121,-165,III,24140,,,,,11650,10250,9300,
DS,3 THP 165 Stop&Start Sport Chic (S),3,121,-165,III,23490,,,14300,12850,11500,,,
DS,3 BlueHDi 100 So Chic (S),3,73  (99),,V,21190,,,,,9300,8000,7175,
DS,3 BlueHDi 100 Stop&Start So Chic (S),3,73  (99),,V,20740,,,11100,9900,8750,,,
DS,3 BlueHDi 120 So Paris (S),3,88  (120),,III,20640,,,,,,8900,8125,
DS,3 BlueHDi 120 Stop&Start Sport Chic (S),3,88  (120),,V,23540,,,13250,11800,10450,,,
DS,3 Cabrio PureTech 82 So Chic (S),2,60  (82),,III,19940,,,12050,10850,9675,,,
DS,3 Cabrio PureTech 110 Stop&Start So Chic (S),2,81  (110),,III,22090,,,,,10450,9225,8325,
DS,3 Cabrio PureTech 110 Stop&Start So Chic (S),2,81  (110),,III,21990,,,12900,11600,10350,,,
DS,3 Cabrio PureTech 130 Stop&Start So Chic (S),2,96  (130),,III,23490,,,13800,12400,11050,,,
DS,3 Cabrio THP 165 Stop&Start So Paris (S),2,121,-165,III,26640,,,,,12850,11350,10350,
DS,3 Cabrio THP 165 Stop&Start Sport Chic (S),2,121,-165,III,26290,,,15450,13900,12400,,,
DS,3 Cabrio BlueHDi 100 So Paris (S),2,73  (99),,V,25890,,,,,11400,9825,8750,
DS,3 Cabrio BlueHDi 100 So Chic (S),2,73  (99),,V,23540,,,12800,11400,10100,,,
DS,3 Cabrio BlueHDi 120 So Paris (S),2,88  (120),,V,26940,,,,,11900,10200,9100,
DS,3 Cabrio BlueHDi 120 Sport Chic (S),2,88  (120),,V,26340,,,14300,12800,11300,,,
DS,3  (S),3,153  (208),,III,26990,,,16350,14700,13100,,,
DS,4 Crossback PureTech 130 Stop&Start  (N),5,96  (130),,III,25490,,,14500,13050,11650,10400,,
DS,4 PureTech 130 Stop&Start  (N),5,96  (130),,III,23990,,,13800,12400,11050,9875,,
DS,4 THP 165 Stop&Start EAT6 (N),5,121,-165,III,26990,,,15650,14050,12550,11200,,
DS,4 THP 210 Stop&Start  (N),5,155  (210),,III,28090,,,,14600,13000,11400,,
DS,4 Crossback BlueHDi 120 Stop&Start  (N),5,88  (120),,V,27490,,,14400,12850,11350,9850,,
DS,4 BlueHDi 120 Stop&Start  (N),5,88  (120),,V,25990,,,13550,12100,10700,9350,,
DS,4 BlueHDi 150 Stop&Start  (N),5,110  (150),,V,27690,,,,12350,10900,9625,,
DS,4 Crossback BlueHDi 180 Stop&Start EAT6 (N),5,133  (180),,V,31890,,,16550,14750,13050,11450,,
DS,4 BlueHDi 180 Stop&Start EAT6 (N),5,133  (180),,V,30390,,,15700,14000,12350,10900,,
DS,5 THP 165 Stop&Start EAT6 (K/KF),5,121,-165,IV,34390,,,19200,17300,15450,13400,,
DS,5 THP 210 Stop&Start  (K/KF),5,155  (211),,IV,34990,,,,17950,16050,,,
DS,5 BlueHDi 120 Stop&Start  (K/KF),5,88  (120),,VI,32590,,,16200,14450,12650,10800,,
DS,5 BlueHDi 150 Stop&Start  (K/KF),5,110  (150),,VI,34590,,,15900,14200,12400,10250,,
DS,5 BlueHDi 180 Stop&Start EAT6 (K/KF),5,133  (180),,VI,38090,,,17950,16000,13600,11850,,
DS,5 Hybrid 4x4 ETG6 (K/KF),5,147  (200),,VI,46290,,,,17650,15400,13150,,
DS,7 Crossback PureTech 130 Chic (J),5,96  (130),,IV,30740,23800,21200,18800,,,,,
DS,7 Crossback PureTech 180 Be Chic Automatik (J),5,132  (180),,IV,38110,31100,27700,,,,,,
DS,7 Crossback PureTech 180 Be Chic Automatik (J),5,133  (180),,IV,36790,,26700,23700,,,,,
DS,7 Crossback PureTech 225 Be Chic Automatik (J),5,165  (225),,IV,39490,,27600,25000,21950,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 49 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,,
DS Automobiles,,,,,,,,,,,,,,
DS 7 Crossback BlueHDi 130 Chic (J),5,96  (130),V,32290,,22850,20100,17950,,,,,,
DS 7 Crossback BlueHDi 180 Be Chic Automatik (J),5,130  (177),V,40590,,28900,25400,22700,,,,,,
DS 7 Crossback E-Tense 225 So Chic Automatik (J),5,165  (225),IV,46580,34150,,,,,,,,,
DS 7 Crossback E-Tense 300 Be Chic 4x4 Automatik (J) 5,,220  (300),IV,49023,36900,30450,,,,,,,,
Fiat,,,,,,,,,,,,,,
124 Spider 1.4 Multiair Turbo  (NF),2,103  (140),IV,24990,,16750,15400,14250,13100,,,,,
500 1.0 Hybrid GSE Pop (312),3,51  (70),III,13990,9275,,,,,,,,,
500 1.2 8V Eco Pop Star (312),3,51  (69),III,13940,,,7650,7200,6800,,,,,
500 1.2 8V Pop (312),3,51  (69),III,12590,,,6550,6150,5625,4950,,,,
500 0.9 8V TwinAir Start&Stopp Lounge (312),3,63  (86),III,16630,,,9050,8075,7250,6700,,,,
500 0.9 8V TwinAir Turbo Start&Stopp Lounge (312),3,77  (105),III,15850,,,,,,6600,5725,,,
500 1.3 16V Multijet Start&Stopp Lounge (312),3,70  (95),IV,18730,,,10100,9100,8500,7500,,,,
500 1.2 8V LPG Pop Star  (312),3,51  (69),III,15090,,,8400,,,,,,,
500C 1.0 Hybrid GSE Lounge (312),2,51  (70),III,18690,12600,,,,,,,,,
500C 1.2 8V Eco Pop Star (312),2,51  (69),III,16540,,,9500,8550,7875,,,,,
500C 1.2 8V Pop (312),2,51  (69),III,15190,,,8225,7400,6825,6050,,,,
500C 0.9 8V TwinAir Start&Stopp Lounge (312),2,63  (86),III,19230,,,10950,9875,8650,7825,,,,
500C 0.9 8V TwinAir Turbo Start&Stopp Lounge (312),2,77  (105),III,18350,,,,,,7850,7350,,,
500C 0.9 8V TwinAir Turbo Start&Stopp Lounge (312),2,77  (105),III,19930,,,11050,9925,8875,7875,,,,
500C 1.3 16V Multijet Start&Stopp Lounge (312),2,70  (95),IV,21330,,,11300,10200,9150,8075,,,,
"500e (23,8 kWh) Action (FA1)",3,70  (95),III,26790,11850,,,,,,,,,
500e (42 kWh) Passion (FA1),3,87  (118),III,27559,15750,,,,,,,,,
500e 3+1 (42 kWh) Passion (FA1),4,87  (118),III,29560,16900,,,,,,,,,
500e Cabrio (42 kWh) Passion (FA1),2,87  (118),III,30559,16150,,,,,,,,,
500L Wagon 1.4 16V Pop-Star (199),5,70  (95),IV,16990,,11800,10550,9425,,,,,,
500L Trekking 1.4 16V  (199),5,70  (95),IV,20050,,,,11150,10300,8900,7800,,,
500L Cross 1.4 16V City (199),5,70  (95),IV,16990,,,10550,9700,,,,,,
500L Cross 1.4 16V Start&Stopp  (199),5,70  (95),IV,18990,14750,13150,,,,,,,,
500L 1.4 16V Pop (199),5,70  (95),IV,15990,,,,9075,8375,7300,6400,,,
500L Urban 1.4 16V Pop Star (199),5,70  (95),IV,16490,,,10250,9400,,,,,,
500L Living 0.9 8V TwinAir Turbo Start&Stopp Pop-,5,77  (105),IV,19890,,,,10350,9200,8050,7150,,,
Star (199),,,,,,,,,,,,,,
500L Wagon 0.9 8V TwinAir Turbo Start&Stopp Pop-,5,77  (105),IV,18290,,,11000,9850,,,,,,
Star (199),,,,,,,,,,,,,,
500L Trekking 0.9 TwinAir Start&Stopp  (199),5,77  (105),IV,21350,,,,11550,10250,8800,7825,,,
500L Cross 0.9 TwinAir Start&Stopp City (199),5,77  (105),IV,18290,,,11350,10350,,,,,,
500L Urban 0.9 TwinAir Start&Stopp Pop Star (199),5,77  (105),IV,17790,,,11050,10050,,,,,,
500L Living 1.4 T-Jet 16V Pop-Star (199),5,88  (120),IV,20690,,,,11250,9975,8725,7775,,,
500L Wagon 1.4 T-Jet 16V Pop-Star (199),5,88  (120),IV,19240,,,11350,10150,,,,,,
500L Trekking 1.4 T-Jet 16V  (199),5,88  (120),IV,22300,,,,11650,10150,8675,8050,,,
500L Cross 1.4 T-Jet 16V City (199),5,88  (120),IV,19240,,,12050,10650,,,,,,
500L 1.4 T-Jet 16V Pop Star (199),5,88  (120),IV,20240,,,,10800,9350,8025,7425,,,
500L Urban 1.4 T-Jet 16V Pop Star (199),5,88  (120),IV,18740,,,11750,10400,,,,,,
500L Living 1.3 16V Multijet Start&Stopp Pop-Star,5,62  (85),V,21550,,,,,,8225,7225,,,
Dualogic (199),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 50 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
Fiat,,,,,,,,,,,,,,
500L Trekking 1.3 Multijet 16V Start&Stopp  (199),5,62  (85),,V,22550,,,,,,7975,7025,,
500L Living 1.3 16V Multijet Start&Stopp Pop-Star,5,70  (95),,V,22390,,,,10950,9700,8400,,,
Dualogic (199),,,,,,,,,,,,,,
500L Wagon 1.3 16V Multijet Start&Stopp Pop-Star,5,70  (95),,V,19490,,,11150,9950,,,,,
-199,,,,,,,,,,,,,,
500L Trekking 1.3 Multijet 16V Start&Stopp Dualogic,5,70  (95),,V,23750,,,,11350,10200,8725,,,
-199,,,,,,,,,,,,,,
500L Cross 1.3 Multijet 16V Start&Stopp City (199),5,70  (95),,V,19490,,,10750,9800,,,,,
500L 1.3 Multijet 16V Start&Stopp Pop Star (199),5,70  (95),,V,20490,,,,9875,8850,7575,,,
500L Urban 1.3 Multijet 16V Start&Stopp Pop Star,5,70  (95),,V,18990,,,10500,9550,,,,,
-199,,,,,,,,,,,,,,
500L Living 1.6 16V Multijet Start&Stopp Pop-Star,5,77  (105),,V,21050,,,,,,7775,6850,,
-199,,,,,,,,,,,,,,
500L Trekking 1.6 Multijet 16V Start&Stopp  (199),5,77  (105),,V,22050,,,,,,8200,7450,,
500L Living 1.6 16V Multijet Start&Stopp Pop-Star,5,88  (120),,V,21750,,,,,,7725,6800,,
-199,,,,,,,,,,,,,,
500L Wagon 1.6 16V Multijet Start&Stopp Pop-Star,5,88  (120),,V,20740,,14100,11850,10600,,,,,
-199,,,,,,,,,,,,,,
500L Trekking 1.6 Multijet 16V Start&Stopp  (199),5,88  (120),,V,22750,,,,,,8725,7700,,
500L Cross 1.6 Multijet 16V Start&Stopp City (199),5,88  (120),,V,20740,,,12250,11150,,,,,
500L 1.6 Multijet 16V Start&Stopp Pop-Star (199),5,88  (120),,V,21050,,,,,,8075,7125,,
500L Urban 1.6 Multijet 16V Start&Stopp Pop Star,5,88  (120),,V,20240,,,11950,10900,,,,,
-199,,,,,,,,,,,,,,
500L Urban 0.9 TwinAir Natural Power Pop Star  (199),5,59  (80),,IV,19690,,,12350,11050,,,,,
500X 1.6 E-torQ Pop 4x2 (334),5,81  (110),,III,16990,,,,10350,9825,8900,7850,,
500X Cross 1.6 E-torQ City 4x2 (334),5,81  (110),,III,19190,,14850,14100,,,,,,
500X 1.6 E-torQ Urban (334),5,81  (110),,III,17490,,13550,12850,,,,,,
500X Cross 1.0 Firefly Turbo City 4x2 (334),5,88  (120),,III,20656,16100,15250,14350,,,,,,
500X 1.0 Firefly Turbo Urban (334),5,88  (120),,III,18998,14800,14000,13200,,,,,,
500X 1.4 MultiAir Start&Stopp Pop Star 4x2 (334),5,103  (140),,III,21790,,,,12750,11300,10300,9075,,
500X Cross 1.3 Firefly Turbo City 4x2 DCT (334),5,111,-150,III,23990,18400,16950,15500,,,,,,
500X 1.3 Firefly Turbo Lounge DCT (334),5,111,-150,III,23990,18650,17150,,,,,,,
500X 1.4 MultiAir Start&Stopp S-Design Cross Look,5,125  (170),,III,27490,,,16950,15250,,,,,
4x4 DCT (334),,,,,,,,,,,,,,
500X 1.3 MultiJet Start&Stopp Pop 4x2 (334),5,70  (95),,IV,18990,,,,9325,8375,7425,,,
500X Cross 1.3 MultiJet City 4x2 (334),5,70  (95),,IV,21990,16700,15000,13400,,,,,,
500X 1.3 MultiJet Urban (334),5,70  (95),,IV,20290,15400,13850,12350,,,,,,
500X 1.6 MultiJet Start&Stopp Pop Star 4x2 (334),5,88  (120),,IV,23190,,,,12800,11500,10300,8600,,
500X Cross 1.6 MultiJet City 4x2 (334),5,88  (120),,IV,22990,17850,16050,14350,,,,,,
500X 1.6 MultiJet Urban (334),5,88  (120),,IV,21290,16550,14850,13250,,,,,,
500X Cross 2.0 MultiJet City 4x4 Automatik (334),5,110  (150),,IV,27190,,18400,16450,,,,,,
Doblò Cargo Kastenwagen 1.3 Multijet Start&Stopp,4,59  (80),,V,20611,12700,11300,,,,,,,
Easy (263),,,,,,,,,,,,,,
Doblò Cargo Kastenwagen 1.3 Multijet Start&Stopp,4,70  (95),,V,22789,14100,12600,,,,,,,
Basis (263),,,,,,,,,,,,,,
Doblò Cargo Kastenwagen Maxi 1.3 Multijet,4,70  (95),,V,23860,14800,13200,,,,,,,
Start&Stopp Basis (263),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 51 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,,
Fiat,,,,,,,,,,,,,,
Doblò Cargo Kastenwagen 1.6 Multijet Start&Stopp,4,74  (100),V,23860,14450,,,,,,,,,
Basis (263),,,,,,,,,,,,,,
Doblò Cargo Kastenwagen Maxi 1.6 Multijet,4,74  (100),V,24931,15200,,,,,,,,,
Start&Stopp Basis (263),,,,,,,,,,,,,,
Doblò Cargo Kastenwagen Maxi XL 1.6 Multijet,4,74  (100),V,26002,15850,,,,,,,,,
Start&Stopp Basis (263),,,,,,,,,,,,,,
Doblò Cargo Kastenwagen 1.6 Multijet Start&Stopp,4,88  (120),V,25109,14850,13250,,,,,,,,
Basis (263),,,,,,,,,,,,,,
Doblò Cargo Kastenwagen Maxi 1.6 Multijet,4,88  (120),V,26180,15550,13850,,,,,,,,
Start&Stopp Basis (263),,,,,,,,,,,,,,
Doblò Cargo Kastenwagen Maxi XL 1.6 Multijet,4,88  (120),V,27251,16200,14450,,,,,,,,
Start&Stopp Basis (263),,,,,,,,,,,,,,
Doblò Cargo Kastenwagen 1.4 T-Jet Natural Power,4,88  (120),IV,24895,14350,12800,,,,,,,,
Basis  (263),,,,,,,,,,,,,,
Doblò Cargo Kastenwagen Maxi 1.4 T-Jet Natural,4,88  (120),IV,25966,15000,13400,,,,,,,,
Power Basis  (263),,,,,,,,,,,,,,
Doblò Kombi 1.4 16V Start&Stopp Pop (263),5,70  (95),IV,17400,,,,,,6625,5900,,,
Doblò Kombi 1.4 16V Pop (263),5,70  (95),IV,17990,,,9875,8825,7800,6825,6075,,,
Doblò Kombi 1.4 T-Jet 16V Easy (263),5,88  (120),IV,19710,14000,12500,11050,,,,,,,
Doblò Kombi 1.6 JTD Multijet 16V Pop (263),5,66  (90),V,19600,,,,,,6950,6125,,,
Doblò Kombi 1.6 JTD Multijet 16V Start&Stopp Lounge,5,66  (90),V,22050,,,,,,7825,6875,,,
Dualogic (263),,,,,,,,,,,,,,
Doblò Kombi lang 1.6 JTD Multijet 16V Start&Stopp,5,66  (90),V,24250,,,,,,8600,7575,,,
Lounge Dualogic (263),,,,,,,,,,,,,,
Doblò Cargo Kombi Maxi 1.3 Multijet Start&Stopp,5,70  (95),V,24633,14550,13000,,,,,,,,
Basis (263),,,,,,,,,,,,,,
Doblò Kombi 1.6 Multijet 16V Pop (263),5,70  (95),V,20940,,,10550,9100,8075,7000,,,,
Doblò Kombi lang 1.6 Multijet 16V Lounge (263),5,70  (95),V,24550,,,12400,10650,9425,8175,,,,
Doblò Cargo Kombi 1.6 Multijet Start&Stopp Basis,5,74  (100),V,24812,14850,,,,,,,,,
-263,,,,,,,,,,,,,,
Doblò Cargo Kombi Maxi 1.6 Multijet Start&Stopp,5,74  (100),V,25823,15450,,,,,,,,,
Basis (263),,,,,,,,,,,,,,
Doblò Kombi 1.6 JTD Multijet 16V Lounge (263),5,77  (105),V,22950,,,,,,8125,7150,,,
Doblò Kombi lang 1.6 JTD Multijet 16V Lounge (263),5,77  (105),V,23950,,,,,,8500,7475,,,
Doblò Cargo Kombi 1.6 Multijet Start&Stopp Basis,5,88  (120),V,26597,15750,,,,,,,,,
-263,,,,,,,,,,,,,,
Doblò Cargo Kombi Maxi 1.6 Multijet Start&Stopp,5,88  (120),V,27608,16600,14800,,,,,,,,
Basis (263),,,,,,,,,,,,,,
Doblò Cargo Kombi Maxi XL 1.6 Multijet Start&Stopp,5,88  (120),V,28322,17050,15200,,,,,,,,
Basis (263),,,,,,,,,,,,,,
Doblò Kombi 1.6 Multijet 16V Lounge (263),5,88  (120),V,24450,,,12150,10150,9000,7800,,,,
Doblò Kombi lang 1.6 Multijet 16V Lounge (263),5,88  (120),V,25450,,,12600,10600,9400,8125,,,,
Doblò Kombi 2.0 JTD Multijet 16V Lounge (263),5,99  (135),V,23850,,,,,,8450,7425,,,
Doblò Kombi lang 2.0 JTD Multijet 16V Lounge (263),5,99  (135),V,24850,,,,,,8800,7750,,,
Doblò Kombi 1.4 T-Jet 16V Natural Power Pop  (263),5,88  (120),IV,22090,,,12300,10950,9725,8500,7575,,,
Ducato Kombi 30 L1H1 130 Multijet SCR teilverglast,4,96  (130),VII,30833,,,,,,10900,9900,,,
-250,,,,,,,,,,,,,,
e-Ducato Kombi 35 L2H2 (47 kWh)  (250),4,90  (122),IV,69615,41900,,,,,,,,,
e-Ducato Kombi 35 L2H2 (79 kWh)  (250),4,90  (122),IV,91154,51350,,,,,,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 52 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,,
Fiat,,,,,,,,,,,,,,
e-Ducato Kastenwagen 35 L2H1 (47 kWh)  (250),4,90  (122),IV,66640,38800,,,,,,,,,
e-Ducato Kastenwagen 35 L2H2 (79 kWh)  (250),4,90  (122),IV,88179,48000,,,,,,,,,
e-Ducato Kastenwagen 35 L4H2 (47 kWh)  (250),4,90  (122),IV,67949,39550,,,,,,,,,
e-Ducato Kastenwagen 35 L4H2 (79 kWh)  (250),4,90  (122),IV,89488,48750,,,,,,,,,
e-Ducato Kastenwagen 35 L4H3 (47 kWh)  (250),4,90  (122),IV,69258,40300,,,,,,,,,
e-Ducato Kastenwagen 35 L4H3 (79 kWh)  (250),4,90  (122),IV,90797,49450,,,,,,,,,
e-Ducato Kastenwagen 35 L5H2 (47 kWh)  (250),4,90  (122),IV,69258,40300,,,,,,,,,
e-Ducato Kastenwagen 35 L5H3 (47 kWh)  (250),4,90  (122),IV,70567,41050,,,,,,,,,
e-Ducato Kastenwagen 35 L5H3 (79 kWh)  (250),4,90  (122),IV,92106,50150,,,,,,,,,
e-Ducato Kastenwagen 425 L2H1 (47 kWh)  (250),4,90  (122),IV,65926,38350,,,,,,,,,
